startup_name,angellist_url
switchcam,https://angel.co/switchcam
955dreams,https://angel.co/955dreams
Snapette,https://angel.co/snapette-inc
SpeakerGram,https://angel.co/speakergram
Uscoop,https://angel.co/tuckernuck
CardFlick,https://angel.co/network
DressRush,https://angel.co/dressrush
Cinemacraft,https://angel.co/cinemacraft
Kickfolio,https://angel.co/app-io
Translate Abroad,https://angel.co/waygo
EquityZen,https://angel.co/equityzen
Shippo,https://angel.co/shippo
Sourceasy,https://angel.co/sourceasy
Raisy,https://angel.co/raisy
Totspot,https://angel.co/totspot
WePlann,https://angel.co/weplann
Equipboard,https://angel.co/equipboard
SoundBetter,https://angel.co/soundbetter
SilverPush,https://angel.co/silverpush
Shopseen,https://angel.co/shopseen
ZBoard,https://angel.co/zboard
Guidekick,https://angel.co/guidekick
GogoCoin,https://angel.co/gogocoin
primeloop,https://angel.co/primeloop
Cityblis,https://angel.co/cityblis
pinshape,https://angel.co/pinshape
BidAway,https://angel.co/bidaway
AdEspresso,https://angel.co/adespresso
Simmr,https://angel.co/simmr
Coinalytics,https://angel.co/coinalytics
Popbasic,https://angel.co/popbasic
Neuroware,https://angel.co/neuroware-io
Carreira Beauty,https://angel.co/carreira-beauty
PlateJoy,https://angel.co/platejoy
TargetingMantra,https://angel.co/targetingmantra
Ja Entendi,https://angel.co/ja-entendi
FameBit,https://angel.co/famebit
Partender,https://angel.co/partender
GoRefi,https://angel.co/lenda
ViralGains,https://angel.co/viralgains
anyadir education,https://angel.co/admission-table
click2stream,https://angel.co/click2stream
Monetsu,https://angel.co/monetsu
GiveIt100,https://angel.co/give-it-100
Puzzlium,https://angel.co/puzzlium
3sourcing,https://angel.co/3sourcing
Hobobe,https://angel.co/hobobe
Bohemian Guitars,https://angel.co/bohemian-guitars
OLSET,https://angel.co/olset
ArtCorgi,https://angel.co/artcorgi
WUZZUF,https://angel.co/wuzzuf
Holidog,https://angel.co/holidog
CultureAlley,https://angel.co/culturealley
Pijon,https://angel.co/pijon
uBiome,https://angel.co/ubiome
LaunchTrack,https://angel.co/launchtrack
i3zif.com,https://angel.co/i3zif-com
PredictionIO,https://angel.co/predictionio
Sporthold,https://angel.co/sporthold
Shopeando,https://angel.co/shopeando
MailLift,https://angel.co/maillift
Solidarium,https://angel.co/solidarium
Zootrock,https://angel.co/zootrock
ShareRoot Inc,https://angel.co/shareroot
Thinknum,https://angel.co/thinknum
Enchanted Diamonds,https://angel.co/enchanted-diamonds
rapt.fm,https://angel.co/rapt-fm
